"DistanceKm","SciencePotential","SafetyPotential","SciencePoints","SafetyPoints","TotalPoints"
"5.91","0.145344571566265","1","7.26722857831324","50","57.2672285783132"
"5.92","0.144206064333246","1","7.2103032166623","50","57.2103032166623"
"5.93","0.143074186003854","1","7.1537093001927","50","57.1537093001927"
"5.94","0.141948920625269","1","7.09744603126344","50","57.0974460312634"
"5.95","0.140830252053841","1","7.04151260269207","50","57.0415126026921"
"5.96","0.139718163957622","1","6.98590819788112","50","56.9859081978811"
"5.97","0.138612639818888","1","6.93063199094439","50","56.9306319909444"
"5.98","0.137513662936659","1","6.87568314683295","50","56.875683146833"
"5.99","0.136421216429217","1","6.82106082146086","50","56.8210608214609"
"6","0.135335283236613","1","6.76676416183064","50","56.7667641618306"
"6.01","0.134255846123168","1","6.71279230615838","50","56.7127923061584"
"6.02","0.133182887679974","1","6.65914438399872","50","56.6591443839987"
"6.03","0.132116390327387","1","6.60581951636933","50","56.6058195163693"
"6.04","0.131056336317504","1","6.55281681587519","50","56.5528168158752"
"6.05","0.130002707736651","1","6.50013538683255","50","56.5001353868326"
"6.06","0.12895548650785","1","6.44777432539249","50","56.4477743253925"
"6.07","0.127914654393284","1","6.39573271966418","50","56.3957327196642"
"6.08","0.126880192996756","1","6.34400964983782","50","56.3440096498378"
"6.09","0.125852083766143","1","6.29260418830715","50","56.2926041883072"
"6.1","0.124830307995833","1","6.24151539979164","50","56.2415153997916"
"6.11","0.123814846829166","1","6.19074234145829","50","56.1907423414583"
"6.12","0.122805681260861","1","6.14028406304304","50","56.140284063043"
"6.13","0.121802792139435","1","6.09013960697176","50","56.0901396069718"
"6.14","0.120806160169619","1","6.04030800848094","50","56.0403080084809"
"6.15","0.119815765914756","1","5.9907882957378","50","55.9907882957378"
"6.16","0.118831589799203","1","5.94157948996015","50","55.9415794899601"
"6.17","0.117853612110714","1","5.89268060553571","50","55.8926806055357"
"6.18","0.116881813002821","1","5.84409065014103","50","55.844090650141"
"6.19","0.115916172497199","1","5.79580862485997","50","55.79580862486"
"6.2","0.114956670486035","1","5.74783352430175","50","55.7478335243017"
"6.21","0.11400328673437","1","5.70016433671851","50","55.7001643367185"
"6.22","0.113056000882448","1","5.65280004412238","50","55.6528000441224"
"6.23","0.112114792448043","1","5.60573962240215","50","55.6057396224021"
"6.24","0.111179640828789","1","5.55898204143943","50","55.5589820414394"
"6.25","0.110250525304485","1","5.51252626522426","50","55.5125262652243"
